Depth_cm,Rainfall_mm,Temperature_C,Slope_pct,Land_Use,Parent_Material,Clay_pct,Sand_pct,Silt_pct,Organic_Matter_pct,pH,Nitrogen_mgkg,Phosphorus_mgkg,Potassium_mgkg,Moisture_pct,CEC_cmolkg,Fertility_Score,Fertility_Class
55.0,557.4,22.4,0.26,Grassland,Alluvium,17.8,52.33,29.86,2.26,5.49,264.0,18.6,102.8,13.98,9.93,12.3,Low
68.4,702.6,20.0,0.51,Grassland,Alluvium,39.41,51.54,9.05,6.1,6.7,621.5,43.6,148.1,9.82,35.27,78.7,High
117.8,1185.2,19.9,6.37,Cropland,Residuum,43.27,36.17,20.55,3.83,4.44,430.9,19.1,138.2,27.5,29.27,36.3,Low
30.0,704.4,20.8,1.66,Grassland,Glacial Till,22.1,52.81,25.08,5.5,6.25,516.7,20.0,156.3,10.02,17.94,57.7,Medium
77.1,893.8,8.8,1.02,Cropland,Loess,34.71,43.63,21.65,4.34,5.36,300.5,41.9,121.9,15.5,24.3,38.0,Low
88.9,1087.5,22.5,0.2,Cropland,Alluvium,39.81,52.79,7.39,5.83,4.43,549.5,24.7,162.6,18.71,29.82,43.9,Medium
7.0,707.9,21.7,0.11,Cropland,Alluvium,17.15,60.18,22.68,6.49,5.59,557.0,32.8,95.3,7.05,22.13,48.7,Medium
91.1,976.3,11.9,7.45,Cropland,Loess,30.99,52.88,16.14,4.54,5.76,387.1,26.4,135.9,15.19,21.49,42.9,Medium
25.6,616.5,16.5,0.72,Forest,Glacial Till,22.15,51.18,26.67,6.42,6.34,535.2,31.2,129.8,8.26,23.51,57.9,Medium
9.8,799.7,17.8,3.15,Wetland,Loess,19.79,57.32,22.89,10.49,6.48,967.7,38.1,85.0,8.86,30.69,93.0,High
142.3,1029.9,17.2,4.66,Cropland,Loess,41.11,42.81,16.08,3.76,6.83,321.0,12.3,155.9,20.74,24.91,35.8,Low
144.8,551.8,20.0,2.8,Forest,Alluvium,45.39,47.34,7.27,3.34,5.9,174.3,22.7,194.6,11.88,25.68,29.9,Low
121.3,1060.1,26.6,0.14,Cropland,Glacial Till,43.67,40.03,16.29,3.27,4.88,352.9,7.0,205.0,18.15,28.36,32.2,Low
45.7,945.1,24.5,7.65,Forest,Loess,27.81,62.68,9.51,5.05,5.71,613.2,21.1,125.5,8.94,19.73,39.9,Low
14.7,1088.1,10.1,0.05,Forest,Alluvium,29.24,43.86,26.89,8.08,4.83,803.7,20.4,137.5,16.05,31.08,68.5,High
102.6,1006.0,21.7,7.18,Forest,Loess,36.12,45.29,18.58,5.64,5.85,523.4,26.7,203.2,21.7,29.69,63.8,High
66.0,1291.0,26.0,11.19,Cropland,Alluvium,32.73,62.06,5.21,6.77,4.01,640.1,24.9,170.5,14.95,28.51,46.5,Medium
18.3,981.3,20.3,2.84,Cropland,Alluvium,25.32,53.46,21.22,4.89,6.31,439.6,27.3,107.6,12.16,21.77,59.7,Medium
74.3,842.6,24.5,3.83,Grassland,Alluvium,27.24,47.13,25.63,3.95,5.76,380.3,22.9,110.4,14.84,22.87,37.6,Low
5.2,980.6,30.1,3.24,Grassland,Alluvium,19.78,60.44,19.79,6.16,4.29,583.4,16.8,136.7,11.19,20.44,29.6,Low
136.4,1085.8,24.1,2.46,Cropland,Residuum,45.22,42.28,12.5,3.79,4.62,309.9,16.0,139.9,27.34,27.11,25.2,Low
38.8,962.2,19.5,10.92,Cropland,Residuum,18.89,54.6,26.52,6.06,5.56,676.5,31.4,137.8,12.34,20.23,57.3,Medium
99.4,960.1,24.3,11.22,Cropland,Residuum,42.75,39.91,17.34,4.37,5.75,325.7,29.9,169.0,20.32,30.74,48.9,Medium
46.8,774.5,18.9,2.05,Grassland,Residuum,19.36,75.96,4.68,5.95,4.8,608.5,13.1,124.5,10.67,23.8,42.7,Medium
78.0,784.3,18.1,4.77,Forest,Alluvium,24.59,54.97,20.44,4.97,5.78,466.1,10.3,115.1,14.8,18.71,32.7,Low
82.0,599.3,15.9,13.08,Forest,Alluvium,30.63,41.6,27.77,6.06,4.73,689.8,16.5,120.7,13.97,28.52,44.2,Medium
27.7,1387.4,27.4,16.36,Grassland,Loess,26.77,64.24,8.99,7.33,4.77,717.1,33.1,166.4,16.57,29.08,59.6,Medium
145.4,639.0,13.1,3.56,Cropland,Residuum,36.5,53.59,9.91,2.86,6.2,250.4,29.3,138.4,18.99,25.54,33.4,Low
116.3,776.8,27.2,3.01,Forest,Alluvium,39.62,43.61,16.77,5.64,5.16,520.9,15.1,145.4,16.06,30.44,41.3,Medium
140.9,770.4,21.0,1.63,Forest,Glacial Till,47.91,38.05,14.04,5.22,4.89,498.6,23.6,171.2,17.3,32.44,44.0,Medium
134.2,1173.7,9.6,15.96,Wetland,Loess,40.54,51.74,7.72,7.85,5.21,677.6,41.2,165.8,17.34,37.03,78.4,High
89.7,876.3,20.2,0.77,Grassland,Glacial Till,44.78,43.89,11.33,2.29,5.18,171.3,19.8,136.2,13.06,26.35,31.5,Low
138.3,1261.9,5.4,4.34,Grassland,Residuum,39.62,36.65,23.73,6.11,5.02,473.7,34.4,142.2,24.72,35.16,59.2,Medium
13.3,781.6,21.8,1.66,Cropland,Alluvium,21.96,68.64,9.39,7.0,4.98,609.3,32.6,103.4,2.43,26.49,62.9,High
29.4,1019.7,23.3,1.64,Cropland,Loess,29.62,51.1,19.27,7.98,4.98,763.5,19.0,158.3,15.85,30.39,72.2,High
6.8,741.2,14.4,2.6,Wetland,Alluvium,20.77,67.55,11.68,10.22,4.48,989.4,27.8,98.9,8.4,28.47,81.9,High
48.8,1486.3,18.7,33.6,Wetland,Residuum,22.04,65.55,12.41,10.77,4.46,904.0,30.6,80.7,23.72,31.37,74.3,High
58.3,653.1,29.7,0.28,Forest,Alluvium,25.07,50.21,24.72,6.16,5.54,577.2,25.0,75.2,6.02,21.35,49.7,Medium
40.7,1027.5,15.0,4.32,Grassland,Glacial Till,27.92,60.84,11.24,7.52,4.66,748.0,32.2,95.9,11.47,27.92,57.5,Medium
124.3,1108.4,11.6,0.43,Forest,Alluvium,46.79,40.36,12.85,7.04,5.03,658.9,28.0,207.5,21.04,37.69,67.2,High
53.5,1053.4,26.9,0.84,Forest,Glacial Till,32.39,40.99,26.62,6.67,5.73,595.3,2.0,141.7,17.62,28.57,55.2,Medium
42.1,903.7,29.8,2.9,Grassland,Glacial Till,29.58,51.19,19.24,4.31,5.34,384.2,9.9,144.1,13.03,24.39,39.0,Low
81.4,917.5,18.0,3.57,Cropland,Residuum,28.34,56.8,14.86,4.83,5.36,426.7,3.9,143.0,13.51,23.58,38.8,Low
21.1,961.0,24.1,1.5,Wetland,Loess,21.9,55.18,22.92,9.24,5.6,839.8,31.2,123.5,9.5,28.46,77.7,High
120.3,913.2,26.0,1.9,Forest,Loess,36.19,48.25,15.56,4.64,4.93,450.9,22.1,144.7,17.48,26.2,39.7,Low
11.2,1191.0,13.5,0.45,Cropland,Glacial Till,22.6,64.43,12.97,6.56,6.04,762.0,28.2,145.7,7.35,24.9,71.1,High
148.0,1502.6,15.1,1.81,Wetland,Residuum,56.11,39.78,4.11,5.9,4.11,515.5,13.2,195.9,27.08,37.91,51.1,Medium
115.8,810.6,25.4,16.99,Wetland,Loess,33.06,46.76,20.18,5.62,6.01,514.5,29.5,176.1,13.24,26.98,48.8,Medium
29.8,607.5,28.1,14.48,Forest,Residuum,26.02,59.9,14.08,6.79,6.07,642.1,32.1,142.9,12.82,24.43,58.5,Medium
0.8,927.9,21.4,2.04,Cropland,Glacial Till,19.34,60.55,20.11,8.24,5.34,742.0,17.5,99.5,16.95,25.15,69.3,High
122.3,1594.9,12.7,4.23,Cropland,Residuum,47.91,28.52,23.57,6.36,4.51,669.7,10.7,162.5,27.3,39.43,56.4,Medium
106.0,749.1,29.9,12.02,Forest,Residuum,32.29,54.81,12.9,5.3,5.6,360.9,22.7,120.8,17.25,28.11,40.9,Medium
109.4,1359.8,14.8,0.03,Wetland,Loess,41.44,49.56,9.0,7.83,4.15,711.8,38.7,193.3,20.67,32.14,63.0,High
115.7,1369.4,16.0,8.32,Wetland,Glacial Till,42.11,46.96,10.93,6.31,4.58,648.9,36.1,152.0,19.33,27.48,53.3,Medium
11.1,811.6,20.1,14.82,Forest,Residuum,19.06,64.87,16.07,6.98,5.08,645.4,29.2,92.4,15.06,23.39,57.1,Medium
53.8,1092.2,27.3,0.48,Forest,Alluvium,31.07,48.88,20.05,6.34,4.73,553.1,17.0,145.9,18.75,29.08,41.2,Medium
17.4,1357.1,23.1,0.88,Forest,Residuum,23.93,58.86,17.21,7.76,3.91,763.4,30.9,121.9,17.06,26.02,55.3,Medium
129.5,855.2,20.5,16.19,Wetland,Glacial Till,32.2,42.89,24.91,6.2,6.08,643.2,21.7,147.5,17.98,29.55,65.5,High
93.5,899.1,20.8,3.86,Forest,Loess,32.47,54.59,12.95,5.78,6.35,562.0,19.0,187.3,15.47,26.87,63.7,High
49.6,804.6,18.3,0.07,Cropland,Glacial Till,26.86,66.95,6.19,6.32,6.08,552.4,8.4,151.4,10.63,25.03,56.0,Medium
9.5,696.3,21.3,1.49,Cropland,Alluvium,22.32,51.75,25.92,6.08,6.19,604.8,26.1,118.9,7.24,24.32,62.6,High
46.6,787.7,2.8,2.99,Cropland,Residuum,19.44,54.75,25.81,4.77,5.25,429.3,16.0,74.7,10.35,17.71,27.6,Low
48.8,644.0,16.2,5.9,Forest,Loess,21.16,54.1,24.74,5.83,5.62,598.9,24.5,102.8,12.0,21.2,44.6,Medium
109.4,958.5,19.4,6.61,Forest,Glacial Till,37.47,50.17,12.36,5.24,4.97,586.6,3.0,168.1,16.43,29.2,60.6,High
95.6,757.5,11.1,26.93,Wetland,Alluvium,17.54,53.97,28.48,8.16,5.79,618.7,29.6,81.6,13.34,24.96,61.0,High
133.1,1008.4,20.3,1.69,Wetland,Glacial Till,40.13,50.46,9.41,5.92,5.4,569.3,4.0,210.7,18.89,34.31,55.0,Medium
70.8,561.0,16.8,3.86,Grassland,Residuum,23.41,62.21,14.38,5.09,5.72,379.4,31.3,119.5,5.86,22.61,47.5,Medium
17.9,1032.7,28.5,3.81,Forest,Alluvium,19.1,62.7,18.2,7.51,5.7,859.7,31.1,114.5,8.4,25.62,82.2,High
107.0,1158.4,27.4,2.6,Cropland,Residuum,41.02,36.83,22.15,4.58,5.06,407.0,18.1,140.4,20.97,27.98,35.0,Low
114.1,451.6,15.2,0.93,Cropland,Alluvium,32.99,57.82,9.18,4.19,5.5,442.5,25.0,151.3,8.21,25.39,36.7,Low
84.2,1043.5,17.1,18.96,Forest,Residuum,26.82,60.87,12.31,5.57,4.69,527.0,13.6,98.4,15.14,23.12,29.5,Low
115.6,1256.9,17.6,9.6,Wetland,Alluvium,42.25,51.74,6.01,6.96,5.06,613.0,25.2,217.5,18.26,34.19,74.0,High
74.1,647.6,15.3,3.45,Cropland,Alluvium,34.79,53.1,12.11,4.82,6.15,402.8,29.3,176.7,10.93,23.95,43.8,Medium
78.4,1368.1,19.2,4.62,Forest,Glacial Till,43.47,47.41,9.12,6.3,5.02,693.4,2.0,189.7,25.55,34.86,57.9,Medium
64.1,1054.8,13.5,1.29,Wetland,Alluvium,24.06,62.96,12.98,8.87,5.97,900.4,26.3,91.5,13.88,30.04,75.0,High
3.8,773.7,11.2,3.92,Wetland,Alluvium,18.91,71.14,9.95,8.93,6.26,965.2,30.4,120.1,6.36,31.23,80.6,High
16.2,936.1,21.7,5.94,Forest,Residuum,19.36,53.64,27.01,7.58,5.42,723.3,24.9,144.2,12.85,29.41,65.1,High
4.7,1089.6,21.8,3.62,Cropland,Residuum,21.28,64.77,13.96,7.11,4.55,692.7,35.5,132.3,17.15,26.03,51.2,Medium
95.5,969.0,13.2,23.17,Cropland,Loess,27.11,54.57,18.32,5.2,4.79,477.6,11.9,102.4,15.26,23.25,30.3,Low
47.2,1084.7,23.4,4.73,Cropland,Residuum,28.32,53.65,18.03,5.69,4.78,523.1,16.8,114.6,17.68,22.8,51.9,Medium
76.3,719.8,14.2,2.32,Forest,Loess,30.16,44.19,25.65,5.49,6.2,459.3,9.0,123.3,11.74,26.92,51.5,Medium
136.1,992.3,19.5,7.4,Cropland,Loess,39.51,46.56,13.93,3.88,6.32,373.4,33.7,137.6,21.13,26.34,53.6,Medium
37.4,596.6,22.9,0.93,Wetland,Alluvium,17.98,54.13,27.89,8.0,5.91,712.9,26.3,149.8,16.04,25.97,75.6,High
61.6,922.2,17.8,2.43,Cropland,Alluvium,27.5,52.09,20.41,5.59,5.8,557.6,20.2,80.9,11.98,27.58,50.5,Medium
113.3,724.0,20.7,2.13,Forest,Residuum,37.28,42.91,19.81,5.95,5.39,575.4,23.1,167.3,11.97,27.62,52.2,Medium
34.3,766.1,14.9,2.83,Cropland,Residuum,24.78,53.68,21.54,5.29,5.76,519.4,28.1,90.1,12.6,20.4,47.9,Medium
11.5,1259.0,16.8,7.61,Cropland,Loess,25.94,53.3,20.77,7.51,5.42,813.5,29.1,104.3,19.89,26.96,69.0,High
43.5,1222.8,16.8,3.31,Grassland,Residuum,27.36,55.53,17.11,5.43,3.8,513.5,40.6,78.1,16.55,25.36,32.6,Low
24.2,1102.3,13.5,7.9,Cropland,Residuum,23.95,47.14,28.91,7.36,4.74,744.3,28.4,110.0,13.1,27.34,60.2,High
139.5,676.9,16.9,4.3,Forest,Alluvium,43.57,37.36,19.07,3.1,6.06,417.4,16.0,198.3,16.68,24.32,37.9,Low
121.2,870.9,8.7,2.09,Forest,Alluvium,44.2,47.86,7.94,4.94,5.43,547.7,17.3,171.3,19.28,31.78,51.0,Medium
95.0,1253.3,15.1,8.3,Grassland,Residuum,37.0,44.87,18.13,5.23,4.12,566.2,16.5,119.3,19.24,25.23,34.0,Low
130.7,985.4,16.3,1.36,Forest,Residuum,41.99,53.35,4.66,5.08,3.91,463.8,6.9,185.4,19.23,27.88,24.3,Low
120.6,1529.8,16.5,1.27,Grassland,Residuum,48.38,44.74,6.88,4.95,4.12,483.6,19.5,204.6,28.79,31.92,26.5,Low
28.0,1048.3,16.6,3.51,Forest,Alluvium,19.79,62.76,17.45,7.06,4.99,591.5,31.0,116.7,13.35,22.62,46.5,Medium
133.9,998.0,17.6,1.51,Cropland,Loess,42.77,54.94,2.29,5.09,4.96,513.7,16.2,212.6,17.35,31.72,60.2,High
80.9,872.7,20.9,0.05,Cropland,Glacial Till,36.0,48.34,15.66,5.12,5.56,502.4,15.9,167.4,18.44,27.51,46.7,Medium
121.1,983.4,23.2,5.22,Wetland,Alluvium,42.34,43.27,14.39,6.06,5.38,577.1,35.8,179.3,16.4,35.31,68.7,High
134.4,911.9,14.1,3.58,Wetland,Residuum,40.8,52.79,6.41,6.2,5.57,650.5,12.9,139.0,13.68,30.88,45.1,Medium
47.7,1127.0,10.8,2.95,Forest,Glacial Till,29.95,56.58,13.47,8.75,3.93,758.5,9.1,154.7,15.37,31.6,51.6,Medium
16.5,1189.2,11.7,17.05,Cropland,Residuum,15.97,60.09,23.94,7.31,4.16,792.3,14.2,111.5,12.28,24.96,43.0,Medium
34.2,753.5,15.1,4.23,Forest,Residuum,24.53,64.86,10.61,6.3,5.32,652.4,11.6,136.4,7.81,24.08,50.7,Medium
64.1,617.2,15.9,9.95,Cropland,Alluvium,23.14,56.0,20.86,4.45,5.96,418.4,25.0,100.5,15.43,22.75,57.2,Medium
122.7,490.9,13.4,0.75,Cropland,Loess,34.61,51.16,14.23,2.94,6.41,270.4,17.2,143.8,17.98,22.83,38.0,Low
129.1,1077.0,10.2,4.21,Wetland,Alluvium,41.24,47.44,11.31,6.54,5.22,650.3,22.5,140.1,18.02,27.59,67.4,High
1.0,674.2,15.3,10.12,Wetland,Glacial Till,12.48,57.53,29.99,8.19,5.6,869.1,37.2,46.1,8.63,25.17,70.4,High
76.6,411.8,19.1,4.37,Cropland,Loess,23.41,57.59,19.0,3.25,6.12,314.4,14.5,141.3,7.13,19.17,40.9,Medium
62.6,1047.1,21.6,6.33,Cropland,Loess,32.25,60.64,7.11,5.0,4.97,483.9,27.1,100.9,18.5,26.92,54.5,Medium
33.3,1573.2,14.7,2.33,Grassland,Loess,30.48,55.91,13.61,8.2,4.92,780.1,38.7,142.0,24.75,27.12,68.6,High
18.0,948.5,15.5,0.49,Grassland,Residuum,28.82,54.34,16.84,6.52,4.72,726.5,19.5,141.5,9.19,25.34,50.5,Medium
50.6,1159.6,12.4,3.06,Forest,Residuum,35.82,49.33,14.85,7.19,5.29,660.9,31.4,157.8,20.07,30.04,56.6,Medium
141.4,970.5,17.8,2.51,Cropland,Glacial Till,40.66,49.62,9.72,4.71,5.45,445.5,19.4,149.4,13.66,26.5,41.5,Medium
48.5,925.3,12.9,10.09,Cropland,Glacial Till,24.58,60.98,14.44,7.16,5.39,767.8,33.1,131.6,17.8,29.58,69.2,High
77.8,1179.8,21.4,1.4,Forest,Residuum,33.07,55.47,11.46,6.13,4.5,591.2,9.5,153.7,18.75,27.73,57.2,Medium
105.5,877.4,7.3,17.02,Forest,Glacial Till,30.25,51.37,18.38,5.12,4.81,554.9,7.7,152.6,12.04,24.3,31.8,Low
54.5,1016.8,15.8,15.87,Forest,Residuum,32.48,54.09,13.44,6.14,4.75,529.1,19.4,184.0,15.18,28.62,49.3,Medium
145.8,1030.4,19.8,1.42,Cropland,Residuum,44.87,48.2,6.93,4.18,4.89,384.7,12.2,170.8,18.29,30.11,24.8,Low
144.4,783.0,19.1,2.14,Forest,Residuum,44.07,39.72,16.21,3.83,4.24,452.8,13.2,164.3,19.38,21.2,24.1,Low
37.8,1198.0,32.0,11.3,Forest,Alluvium,27.39,55.95,16.67,6.66,4.7,592.4,21.6,107.6,19.64,25.02,49.2,Medium
74.6,906.3,20.1,17.0,Forest,Alluvium,22.35,44.74,32.91,5.29,5.7,493.8,28.7,128.0,10.93,18.35,48.8,Medium
45.1,761.1,12.0,2.93,Grassland,Alluvium,20.81,61.45,17.74,5.3,5.74,518.8,19.8,130.4,15.66,21.29,50.3,Medium
42.7,1084.1,17.4,1.94,Grassland,Residuum,23.2,61.2,15.6,6.66,4.73,573.3,16.8,116.2,18.65,23.85,47.6,Medium
5.5,725.4,7.3,3.73,Cropland,Residuum,12.85,67.42,19.73,5.97,5.54,542.0,21.0,110.8,4.83,18.34,49.2,Medium
91.4,957.0,17.5,5.82,Cropland,Residuum,22.51,55.25,22.24,5.72,4.89,550.5,15.9,110.8,13.55,17.99,38.6,Low
75.4,947.7,13.0,1.6,Wetland,Glacial Till,34.56,52.84,12.59,7.56,5.45,721.3,19.0,164.2,20.9,30.82,61.0,High
7.7,1221.5,23.5,6.67,Forest,Residuum,29.93,62.08,7.99,7.99,5.54,835.9,14.6,160.6,19.99,32.48,62.6,High
41.8,1068.7,14.7,0.27,Forest,Residuum,28.85,62.62,8.54,6.23,5.48,684.8,24.7,155.3,13.48,28.89,58.3,Medium
136.2,943.7,17.3,0.25,Forest,Alluvium,38.09,48.87,13.03,4.58,5.44,383.7,16.6,153.6,19.41,28.2,40.1,Medium
35.9,1154.4,14.2,2.44,Forest,Alluvium,24.9,57.14,17.96,7.38,4.62,707.8,32.3,99.8,24.45,24.03,63.1,High
21.7,1297.6,28.4,2.18,Cropland,Loess,24.88,62.98,12.14,6.87,5.33,693.5,13.5,109.8,16.32,28.15,56.6,Medium
73.4,1089.5,16.1,1.9,Wetland,Residuum,29.55,44.74,25.71,9.38,4.12,981.9,22.8,154.0,15.61,34.44,74.7,High
147.8,952.6,29.0,3.38,Cropland,Loess,48.3,41.5,10.2,3.19,5.34,346.3,32.9,232.3,20.51,28.2,44.6,Medium
36.3,622.0,22.9,1.93,Cropland,Alluvium,24.56,64.5,10.93,4.79,5.96,472.1,15.0,112.7,9.71,17.05,38.4,Low
100.8,683.7,20.9,1.07,Wetland,Residuum,29.36,59.7,10.94,5.94,5.94,604.5,22.7,144.9,9.59,27.6,64.4,High
114.2,873.7,20.2,1.85,Forest,Alluvium,41.3,49.5,9.2,5.36,5.62,549.5,13.2,145.0,18.07,28.65,63.0,High
35.6,797.6,20.4,18.43,Forest,Alluvium,23.65,47.96,28.39,7.73,5.55,678.5,16.2,99.3,9.28,27.56,74.5,High
109.2,903.3,6.4,2.65,Cropland,Alluvium,45.18,44.85,9.97,5.04,5.15,490.7,33.8,150.1,16.44,31.06,51.0,Medium
55.2,964.2,16.3,2.94,Cropland,Alluvium,39.93,44.5,15.57,6.45,5.42,700.0,25.8,105.5,20.43,34.58,65.8,High
94.8,1082.4,23.1,4.3,Forest,Residuum,32.95,53.86,13.19,6.16,4.5,572.6,23.2,175.6,11.41,27.51,58.3,Medium
95.0,932.4,17.7,20.47,Cropland,Alluvium,40.42,42.91,16.66,5.92,4.78,569.8,8.6,102.1,20.87,30.58,43.4,Medium
80.4,1071.6,9.6,1.38,Cropland,Glacial Till,33.42,45.46,21.11,4.19,5.22,383.7,22.9,133.2,11.88,27.0,41.9,Medium
13.5,966.1,17.7,5.72,Grassland,Residuum,17.66,47.9,34.44,7.42,5.24,566.1,35.1,80.5,8.46,22.21,46.4,Medium
125.3,456.1,28.2,6.29,Cropland,Alluvium,35.13,58.01,6.86,3.44,5.0,327.8,27.4,120.3,8.69,24.66,28.2,Low
48.1,715.2,25.5,4.67,Cropland,Alluvium,21.28,55.9,22.82,4.14,5.75,411.1,26.3,147.4,11.46,17.87,46.1,Medium
28.0,914.0,17.6,0.46,Forest,Residuum,25.44,56.95,17.61,6.51,5.62,588.2,15.9,130.8,17.15,23.12,48.2,Medium
6.1,647.6,23.7,5.65,Cropland,Alluvium,9.61,64.7,25.69,5.51,5.59,454.5,25.6,65.3,6.67,15.91,37.5,Low
88.6,1100.0,15.8,0.33,Forest,Glacial Till,36.08,43.75,20.17,5.57,6.34,476.2,30.0,133.0,18.19,29.32,48.7,Medium
101.6,1332.7,7.8,4.53,Wetland,Glacial Till,45.84,37.23,16.93,7.93,4.46,799.0,10.8,153.6,25.73,39.99,79.1,High
2.5,1254.7,12.5,6.73,Cropland,Alluvium,20.92,52.46,26.62,8.14,4.54,891.9,16.8,117.2,13.83,29.46,72.9,High
76.8,896.6,27.4,1.18,Cropland,Residuum,32.74,47.66,19.61,5.47,5.06,602.6,29.1,144.6,16.13,25.63,52.0,Medium
34.0,1322.7,16.4,9.21,Grassland,Alluvium,28.66,56.43,14.9,8.01,4.58,680.0,32.6,182.5,14.32,27.74,65.7,High
96.8,987.2,16.5,0.15,Cropland,Loess,41.89,42.18,15.92,4.22,5.25,452.5,7.7,110.6,19.33,27.08,38.3,Low
26.2,865.7,16.2,9.28,Cropland,Residuum,13.23,73.2,13.57,5.75,4.6,506.8,27.9,96.9,7.67,15.67,43.7,Medium
103.6,796.6,29.4,3.08,Grassland,Alluvium,37.47,55.55,6.97,4.88,5.13,428.5,21.8,141.9,11.97,26.67,37.8,Low
58.0,874.4,27.8,1.23,Grassland,Alluvium,27.43,59.76,12.81,5.71,5.24,514.3,29.0,152.6,13.21,23.64,53.2,Medium
140.5,853.0,31.3,0.72,Grassland,Loess,43.94,45.11,10.94,3.01,6.23,328.0,14.8,170.1,18.15,27.54,46.6,Medium
20.6,992.6,17.0,15.32,Forest,Residuum,22.5,66.71,10.79,7.97,6.21,814.4,33.9,136.2,15.5,22.44,83.6,High
51.2,990.1,19.8,0.38,Cropland,Alluvium,24.18,55.39,20.43,5.89,5.78,553.3,30.9,130.7,9.13,21.78,39.6,Low
17.0,950.8,8.9,1.11,Grassland,Loess,18.03,59.89,22.07,7.54,5.09,711.4,22.9,87.7,11.54,22.5,52.2,Medium
138.7,1059.2,26.9,2.14,Forest,Residuum,37.19,50.57,12.25,4.11,4.66,418.1,18.9,178.3,15.42,27.73,29.6,Low
131.6,1247.7,11.0,4.84,Forest,Glacial Till,42.77,50.69,6.54,5.78,4.85,583.2,16.9,182.7,23.18,29.16,51.3,Medium
38.7,1187.4,19.3,3.94,Grassland,Alluvium,33.16,55.58,11.26,5.43,5.71,586.1,36.4,164.0,19.77,26.77,46.6,Medium
